platform_name,platform,platform_owner,platform_type,country_of_origin,platform_id,ices_platform_codes,wmo_platform_code,call_sign,sdn_platform_urn,dfo_nafc_platform_code,dfo_nafc_platform_name,comments
Sackville,ship,Fisheries Research Board,Research Vessel,Canada,18SV,18SV,,CNAV,SDN:C17::18SV,,,
Sambro,ship,Canadian Coast Guard,self-propelled small boat,Canada,18S9,18S9,,CG2613,SDN:C17::18S9,,,
sent_AA,,,,,,,,,,AA,,nafc short name: AA
sent_AB,,,,,,,,,,AB,,nafc short name: AB
sent_AC,,,,,,,,,,AC,,nafc short name: AC
sent_AD,,,,,,,,,,AD,,nafc short name: AD
sent_AE,,,,,,,,,,AE,,nafc short name: AE
sent_AF,,,,,,,,,,AF,,nafc short name: AF
sent_AG,,,,,,,,,,AG,,nafc short name: AG
sent_AH,,,,,,,,,,AH,,nafc short name: AH
sent_AI,,,,,,,,,,AI,,nafc short name: AI
sent_AJ,,,,,,,,,,AJ,,nafc short name: AJ
sent_AK,,,,,,,,,,AK,,nafc short name: AK
sent_AL,,,,,,,,,,AL,,nafc short name: AL
sent_AM,,,,,,,,,,AM,,nafc short name: AM
sent_AN,,,,,,,,,,AN,,nafc short name: AN
sent_AO,,,,,,,,,,AO,,nafc short name: AO
sent_AP,,,,,,,,,,AP,,nafc short name: AP
sent_AQ,,,,,,,,,,AQ,,nafc short name: AQ
sent_AR,,,,,,,,,,AR,,nafc short name: AR
sent_AS,,,,,,,,,,AS,,nafc short name: AS
sent_AT,,,,,,,,,,AT,,nafc short name: AT
sent_AU,,,,,,,,,,AU,,nafc short name: AU
sent_AV,,,,,,,,,,AV,,nafc short name: AV
sent_AW,,,,,,,,,,AW,,nafc short name: AW
sent_AX,,,,,,,,,,AX,,nafc short name: AX
sent_AY,,,,,,,,,,AY,,nafc short name: AY
sent_AZ,,,,,,,,,,AZ,,nafc short name: AZ
SENTINAL,ship,,,,,,,,,41,,
Shamook,ship,,,,,,,,,3,,
Shippigan,ship,,,,,,,,,,,
Sigma T,ship,Canadian Coast Guard,Coastal Research Vessel,Canada,18SG,18SG,,,SDN:C17::18SG,,,
Sir John Franklin,ship,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18SZ,18SZ,9781839,VFAM,SDN:C17::18SZ,,,
Sir Wilfred Grenfell,ship,,,,,,,,,45,,
Sir Wilfrid Laurier,ship,Canadian Coast Guard,Arctic Class 2,Canada,"	18LU","	18LU",8320456,CGJK,SDN:C17::18LU,,,
Sir William Alexander,ship,Canadian Coast Guard,Vessel of Opportunity,Canada,18WA,18WA,8320482,CGUM,SDN:C17:18WA,,,
spanish,,,,,,,,,,94,,nafc short name: spanish
SPECIALS,ship,,,,,,,,,15,,
Spray,ship,Canadian Coast Guard,self-propelled small boat,Canada,18PY,18PY,,CG2248,SDN:C17::18PY,,,
Teleost,ship,Canadian Coast Guard,Ice-Reinforced Factory Freeze Trawler,Canada,18TL,18TL,8714346,CGCB,SDN:C17::18TL,39,tel,
Theron,ship,,Research Vessel,Canada,18TE,18TE,5358737,,SDN:C17::18TE,,,
Tudlik,ship,,,,,,,,,,,
Tulugaq,ship,,,,,,,,,,,
Unknown,ship,,,,,,,,,0,,
Variable,ship,,,,,,,,,,,
Vector,ship,Canadian Coast Guard,Mid Shore Science Vessel,Canada,18VT,18VT,6717760,CGBW,SDN:C17::18VT,,,
VESSEL OF OPPORTUNITY,ship,,,,,,,,,,,
Viking_S27,ship,,,,,,,,,75,v27,
Viola M. Davidson,ship,Canadian Coast Guard,Research vessel,Canada,18AU,18AU,,CGEC,SDN:C17::18AU,,,
Vladykov,ship,Canadian Coast Guard,Nearshore Fishery Research Vessel,Canada,18VD,18VD,9656149,CFN5960,SDN:C17::18VD,61,vla,
W. Templeman,ship,,,,,,,,,10,,
WB Scott,ship,,,,,,,,,,,
WHALER,ship,,,,,,,,,40,,
WILFRED TEMPLEMAN,ship,Canadian Coast Guard,Research Vessel,Canada,181C,181C,7907099,CGDV,SDN:C17:181C,,,
Zagreb,ship,,,,,,,,,7,,
Zandvoort,ship,,,,,,,,,35,,
