platform_name,platform_owner,platform_type,country_of_origin,ices_platform_codes,wmo_platform_code,call_sign,sdn_platform_urn,dfo_newfoundland_ship_code,comments
Parizeau,Canadian Coast Guard,Research Vessel,Canada,18PZ,6711728,CGBS,SDN:C17::18PZ,21,
Penguin,USS,naval vessel,United States,319P,,NUKM,SDN:C17::319P,,
Penny Smart,,,,,,,,49,
Petrel,,naval vessel,France,35PE,,FCPL,SDN:C17::35PE,,
Petrel V,,,,,,,,22,
Pierre Radisson,Canadian Coast Guard,research vessel,Canada,18RD,7510834,CGSB,SDN:C17:18RD,,
Provo Wallis,,,,,,CGDP,SDN:C17::18PW,,
Quadra,Canadian Coast Guard,research vessel,Canada,18QA,,VE0MP,SDN:C17::18QA,,
Quest,,,,,,,,,
RRS James Cook,National Environment Research Council,Research Vessel,United Kingdom,740H,9338242,MLRM6,SDN:C17::740H,79,
Sackville,Fisheries Research Board,research vessel,Canada,18SV,,CNAV,SDN:C17::18SV,,
Sambro,Canadian Coast Guard,self-propelled small boat,Canada,18S9,,CG2613,SDN:C17::18S9,,
Shamook,,,,,,,,03,
Shippigan,,,,,,,,,
Sigma T,Canadian Coast Guard,Coastal Research Vessel,Canada,18SG,,,SDN:C17::18SG,,
Sir John Franklin,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18SZ,9781839,VFAM,SDN:C17::18SZ,,
Sir Wilfred Grenfell,,,,,,,,45,
Sir Wilfrid Laurier,Canadian Coast Guard,Arctic Class 2,Canada,	18LU,8320456,CGJK,SDN:C17::18LU,,
Sir William Alexander,Canadian Coast Guard,vessel of opportunity,Canada,18WA,8320482,CGUM,SDN:C17:18WA,,
Spray,Canadian Coast Guard,self-propelled small boat,Canada,18PY,,CG2248,SDN:C17::18PY,,
Teleost,Canadian Coast Guard,Ice-Reinforced Factory Freeze Trawler,Canada,18TL,8714346,CGCB,SDN:C17::18TL,39,
Theron,,research vessel,Canada,18TE,5358737,,SDN:C17::18TE,,
Tudlik,,,,,,,,,
Tulugaq,,,,,,,,,
Unknown,,,,,,,,00,
Variable,,,,,,,,,
Vector,Canadian Coast Guard,Mid Shore Science Vessel,Canada,18VT,6717760,CGBW,SDN:C17::18VT,,
VESSEL OF OPPORTUNITY,,,,,,,,,
Viking_S27,,,,,,,,75,
Viola M. Davidson,Canadian Coast Guard,Research vessel,Canada,18AU,,CGEC,SDN:C17::18AU,,
Vladykov,Canadian Coast Guard,Nearshore Fishery Research Vessel,Canada,18VD,9656149,CFN5960,SDN:C17::18VD,61,
W. Templeman,,,,,,,,10,
WB Scott,,,,,,,,,
WILFRED TEMPLEMAN,Canadian Coast Guard,research vessel,Canada,181C,7907099,CGDV,SDN:C17:181C,,
Zagreb,,,,,,,,07,
Zandvoort,,,,,,,,35,
naka,,,,,,,,50,nafc short name: naka50
naka,,,,,,,,51,nafc short name: naka51
naka,,,,,,,,52,nafc short name: naka52
naka,,,,,,,,53,nafc short name: naka53
EcoSciences,,,,,,,,66,nafc short name: ecosci
aquaculture,,,,,,,,70,nafc short name: aqua
aquaculture2,,,,,,,,71,nafc short name: aqua2
aquaculture3,,,,,,,,72,nafc short name: aqua3
afap80,,,,,,,,80,nafc short name: afap80
afap81,,,,,,,,81,nafc short name: afap81
afap82,,,,,,,,82,nafc short name: afap82
afap83,,,,,,,,83,nafc short name: afap83
afap84,,,,,,,,84,nafc short name: afap84
afap85,,,,,,,,85,nafc short name: afap85
afap86,,,,,,,,86,nafc short name: afap86
afap89,,,,,,,,89,nafc short name: afap89
meds_data,,,,,,,,90,nafc short name: meds90
olabs,,,,,,,,91,nafc short name: olabs
french,,,,,,,,92,nafc short name: doc
osc,,,,,,,,93,nafc short name: osc
spanish,,,,,,,,94,nafc short name: spanish
meds_data,,,,,,,,95,nafc short name: meds95
meds_data,,,,,,,,96,nafc short name: meds96
sent_AA,,,,,,,,AA,nafc short name: AA
sent_AB,,,,,,,,AB,nafc short name: AB
sent_AC,,,,,,,,AC,nafc short name: AC
sent_AD,,,,,,,,AD,nafc short name: AD
sent_AE,,,,,,,,AE,nafc short name: AE
sent_AF,,,,,,,,AF,nafc short name: AF
sent_AG,,,,,,,,AG,nafc short name: AG
sent_AH,,,,,,,,AH,nafc short name: AH
sent_AI,,,,,,,,AI,nafc short name: AI
sent_AJ,,,,,,,,AJ,nafc short name: AJ
sent_AK,,,,,,,,AK,nafc short name: AK
sent_AL,,,,,,,,AL,nafc short name: AL
sent_AM,,,,,,,,AM,nafc short name: AM
sent_AN,,,,,,,,AN,nafc short name: AN
sent_AO,,,,,,,,AO,nafc short name: AO
sent_AP,,,,,,,,AP,nafc short name: AP
sent_AQ,,,,,,,,AQ,nafc short name: AQ
sent_AR,,,,,,,,AR,nafc short name: AR
sent_AS,,,,,,,,AS,nafc short name: AS
sent_AT,,,,,,,,AT,nafc short name: AT
sent_AU,,,,,,,,AU,nafc short name: AU
sent_AV,,,,,,,,AV,nafc short name: AV
sent_AW,,,,,,,,AW,nafc short name: AW
sent_AX,,,,,,,,AX,nafc short name: AX
sent_AY,,,,,,,,AY,nafc short name: AY
sent_AZ,,,,,,,,AZ,nafc short name: AZ
